Union Group,Trade,Union Local,Zone,Package,Start Date,End Date,Wage,Wage Differential,Wage 1.5x,Wage 2.0x,Health & Welfare,RESA,Pension,SIS,UA International Training,Apprenticeship Training,S.U.B. 704,Industry Promotion National Use,Industry Promotion Local Use,S & E 704,Craft 704,Union Dues 704,Retiree Holiday 704
UA,Sprinkler,704,Building,General Foreman,1/1/26,7/31/26,58.82,67.64,88.23,117.64,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.20,0.06,4.54,0.06
UA,Sprinkler,704,Building,Foreman,1/1/26,7/31/26,56.82,65.34,85.23,113.64,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.20,0.06,4.54,0.06
UA,Sprinkler,704,Building,Journeyman,1/1/26,7/31/26,52.32,60.17,78.48,104.64,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.20,0.06,4.54,0.06
UA,Sprinkler,704,Building,Apprentice Class 10,1/1/26,7/31/26,44.48,51.15,66.72,88.96,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.20,0.06,3.86,0.06
UA,Sprinkler,704,Building,Apprentice Class 9,1/1/26,7/31/26,41.86,48.14,62.79,83.72,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.16,0.05,3.64,0.05
UA,Sprinkler,704,Building,Apprentice Class 8,1/1/26,7/31/26,39.24,45.13,58.86,78.48,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.15,0.05,3.41,0.05
UA,Sprinkler,704,Building,Apprentice Class 7,1/1/26,7/31/26,36.63,42.12,54.95,73.26,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.14,0.05,3.18,0.05
UA,Sprinkler,704,Building,Apprentice Class 6,1/1/26,7/31/26,34.01,39.11,51.02,68.02,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.13,0.04,2.96,0.04
UA,Sprinkler,704,Building,Apprentice Class 5,1/1/26,7/31/26,31.40,36.11,47.10,62.80,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.12,0.04,2.73,0.04
UA,Sprinkler,704,Building,Apprentice Class 4,1/1/26,7/31/26,28.78,33.10,43.17,57.56,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.11,0.04,2.50,0.04
UA,Sprinkler,704,Building,Apprentice Class 3,1/1/26,7/31/26,26.16,30.08,39.24,52.32,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.10,0.03,2.27,0.03
UA,Sprinkler,704,Building,Apprentice Class 2,1/1/26,7/31/26,23.55,27.08,35.33,47.10,12.60,1.35,7.45,11.50,0.10,1.00,1.20,0.20,0.10,0.09,0.03,2.05,0.03
UA,Sprinkler,704,Building,Apprentice Class 1,1/1/26,7/31/26,20.93,24.07,31.40,41.86,12.60,1.35,0.00,0.00,0.10,1.00,1.20,0.20,0.10,0.08,0.03,1.82,0.03
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,